Rank,Athlete,Nation,D,E,ND,Total,Average
1,Yang Hak-seon,South Korea,6,9.3,,15.3,14.933
1,Yang Hak-seon,South Korea,5.6,9.066,-0.1,14.566,14.933
2,Artur Dalaloyan,Russia,5.6,9.533,,15.133,14.716
2,Artur Dalaloyan,Russia,5.6,9,-0.3,14.3,14.716
3,Shek Wai Hung,Hong Kong,6,8.966,,14.966,14.666
3,Shek Wai Hung,Hong Kong,6,8.466,-0.1,14.366,14.666
4,Igor Radivilov,Ukraine,5.6,9.233,,14.833,14.666
4,Igor Radivilov,Ukraine,5.6,8.9,,14.5,14.666
5,Le Thanh Tung,Vietnam,5.6,9.3,,14.9,14.633
5,Le Thanh Tung,Vietnam,5.2,9.166,,14.366,14.633
6,Marian Dragulescu,Romania,5.6,9.016,,14.616,14.624
6,Marian Dragulescu,Romania,5.8,8.933,-0.1,14.633,14.624
7,Nikita Nagornyy,Russia,5.6,9.3,,14.9,14.616
7,Nikita Nagornyy,Russia,5.6,8.733,,14.333,14.616
8,Dominick Cunningham,Great Britain,5.6,9.166,,14.766,14.566
8,Dominick Cunningham,Great Britain,5.4,8.966,,14.366,14.566
9,Kim Han-sol,South Korea,5.6,9.066,-0.1,14.566,14.483
9,Kim Han-sol,South Korea,5.2,9.2,,14.4,14.483
10,Loris Frasca,France,5.6,8.833,,14.433,14.483
10,Loris Frasca,France,5.6,8.933,,14.533,14.483
11,James Bacueti,Australia,6,8.666,,14.666,14.433
11,James Bacueti,Australia,5.2,9,,14.2,14.433
12,Carlos Edriel Yulo,Philippines,5.6,8.933,-0.1,14.433,14.433
12,Carlos Edriel Yulo,Philippines,5.6,8.933,-0.1,14.433,14.433
13,Jorge Vega,Guatemala,5.6,9.266,,14.866,14.366
13,Jorge Vega,Guatemala,5.2,8.666,,13.866,14.366
14,Yahor Sharamkou,Belarus,5.2,8.966,,14.166,14.366
14,Yahor Sharamkou,Belarus,5.6,8.966,,14.566,14.366
15,Giarnni Regini-Moran,Great Britain,5.6,8.933,,14.533,14.366
15,Giarnni Regini-Moran,Great Britain,5.4,8.9,-0.1,14.2,14.366
16,Oleg Verniaiev,Ukraine,5.6,9.133,,14.733,14.349
16,Oleg Verniaiev,Ukraine,5.6,8.466,-0.1,13.966,14.349
17,David Rumbutis,Sweden,5.2,9.333,,14.533,14.166
17,David Rumbutis,Sweden,4.8,9,,13.8,14.166
18,Fabian de Luna,Mexico,5.2,8.8,,14,14.116
18,Fabian de Luna,Mexico,5.2,9.033,,14.233,14.116
19,Andrey Medvedev,Israel,5.2,8.966,-0.1,14.066,14.116
19,Andrey Medvedev,Israel,5.6,8.666,-0.1,14.166,14.116
20,Agus Prayoko,Indonesia,5.6,8.666,-0.1,14.166,14.016
20,Agus Prayoko,Indonesia,5.2,8.666,,13.866,14.016
21,Daniel Villafañe,Argentina,5.2,8.875,-0.1,13.975,14.004
21,Daniel Villafañe,Argentina,5.2,8.833,,14.033,14.004
22,Ahmed Anis Maoudj,Algeria,5.2,9.1,,14.3,13.9
22,Ahmed Anis Maoudj,Algeria,4.8,8.8,-0.1,13.5,13.9
23,Ri Se Gwang,North Korea,5.2,8.633,,13.833,13.766
23,Ri Se Gwang,North Korea,6,7.7,,13.7,13.766
24,Jim Man Hin,Hong Kong,5.2,8.9,,14.1,13.75
24,Jim Man Hin,Hong Kong,4.8,8.6,,13.4,13.75
25,Artur Davtyan,Armenia,5.6,8.933,,14.533,13.666
25,Artur Davtyan,Armenia,5.6,7.5,-0.3,12.8,13.666
26,Murad Agharzayev,Azerbaijan,5.2,8.833,-0.3,13.733,13.633
26,Murad Agharzayev,Azerbaijan,5.2,8.433,-0.1,13.533,13.633
27,Vitalijs Kardasovs,Latvia,4.8,8.833,,13.633,13.499
27,Vitalijs Kardasovs,Latvia,5.2,8.166,,13.366,13.499
28,Mohamed Aziz Trabelsi,Tunisia,5.2,8.266,,13.466,13.483
28,Mohamed Aziz Trabelsi,Tunisia,4.8,8.7,,13.5,13.483
29,Olegs Ivanovs,Latvia,4.8,9.066,,13.866,13.466
29,Olegs Ivanovs,Latvia,4,9.066,,13.066,13.466
30,Tikumporn Surintornta,Thailand,5.2,7.666,,12.866,13.316
30,Tikumporn Surintornta,Thailand,5.2,8.666,-0.1,13.766,13.316
31,Rihards Trams,Latvia,4.8,8.833,,13.633,13.266
31,Rihards Trams,Latvia,4,8.9,,12.9,13.266
32,Ivan Tikhonov,Azerbaijan,5.6,7.933,-0.1,13.433,13.266
32,Ivan Tikhonov,Azerbaijan,4.8,8.3,,13.1,13.266
33,Mohamed Abdeldjalil Bourguieg,Algeria,5.2,9.1,,14.3,13.216
33,Mohamed Abdeldjalil Bourguieg,Algeria,4.8,7.633,-0.3,12.133,13.216
34,Tom Nicolaou,Cyprus,5.2,8.6,,13.8,13.133
34,Tom Nicolaou,Cyprus,5.2,7.566,-0.3,12.466,13.133
35,Frantisek Cerny,Czech Republic,5.2,7.6,-0.3,12.5,13.016
35,Frantisek Cerny,Czech Republic,4.8,8.733,,13.533,13.016
36,Gerardo Cabrera,Uruguay,4.8,8.633,-0.3,13.133,12.949
36,Gerardo Cabrera,Uruguay,4.4,8.666,-0.3,12.766,12.949
37,Joao Fuglsig,Denmark,4.8,8.066,-0.1,12.766,12.816
37,Joao Fuglsig,Denmark,5.2,7.666,,12.866,12.816
38,Filip Sasnal,Poland,5.2,7.566,-0.1,12.666,12.716
38,Filip Sasnal,Poland,4,8.766,,12.766,12.716
39,Victor Rostagno,Uruguay,4.8,7.566,-0.1,12.266,12.466
39,Victor Rostagno,Uruguay,5.2,7.466,,12.666,12.466
—,Milad Karimi,Kazakhstan,5.2,9.166,,14.366,DNF
—,Milad Karimi,Kazakhstan,DNS,DNS,,DNS,DNF
—,Trevor Howard,United States,5.2,8.733,,13.933,DNF
—,Trevor Howard,United States,DNS,DNS,,DNS,DNF
—,Konstantin Kuzovkov,Georgia,4.8,8.866,-0.1,13.566,DNF
—,Konstantin Kuzovkov,Georgia,DNS,DNS,,DNS,DNF
—,Casimir Schmidt,Netherlands,5.6,7.566,,13.166,DNF
—,Casimir Schmidt,Netherlands,DNS,DNS,,DNS,DNF